aba,age_vehicule,agepr,nb_autre_carbu,cataeu,cs42pr,nb_diesel,dip14pr,nb_essence,etat_veh_achat,ident_men,km_autre_carbu,km_diesel,km_essence,mloy_d,nactifs,nbphab,nenfants,npers,ocde10,pondmen,poste_07_2_2_1,prix_achat,rev_disponible,revtot,situapr,stalog,tau,tuu,typmen,veh_tot,vp_deplacements_pro,vp_domicile_travail,rural,petite_ville,moyenne_ville,grande_ville,paris,niveau_vie,niveau_vie_decile,niveau_vie_quintile,donation_class_3,distance,distance_autre_carbu,distance_diesel,distance_essence,age_vehicule.1,depenses_carburants_corrigees_emp,depenses_diesel_corrigees_emp,depenses_essence_corrigees_emp
2,30,81,0,300,71,0,71,2,0,10458,0,0,0,0,0,4,0,2,1.5,2269.694228,1903.72,0,14276.886086092,15280.0,5,1,0,0,3,2,0,0,1,0,0,0,0,9517.92405739467,1,1,1_1,6603.1361761,0.0,0.0,6603.1361761,23,518.2492623618866,0.0,518.2492623618866
1,22,44,0,112,56,0,71,1,0,10462,0,0,52,0,2,5,3,4,2.5,501.69098314,1040.0,0,19950.0,19950.0,1,2,8,1,2,1,0,1,0,1,0,0,0,7980.0,1,1,1_0,9304.407309,0.0,0.0,9304.407309,19,800.7278980315635,0.0,800.7278980315635
0,12,47,0,112,67,1,71,1,0,10472,0,96,0,0,1,4,4,5,2.8,1269.9796982,1040.0,0,28485.95,28614.0,1,3,10,5,2,2,0,0,0,0,1,0,0,10173.5535714286,1,1,1_0,21483.1851487,0.0,7950.4031747,13532.781974,8,1848.8212215841047,684.2036694183806,1164.6175521657242
1,13,28,0,120,69,2,60,1,0,10485,0,0,0,0,1,6,2,4,2.1,2918.2802422,603.2,0,17610.85,17800.0,1,2,0,0,4,3,0,0,1,0,0,0,0,8386.11904761905,1,1,1_1,17721.5383375,0.0,13312.500382,4409.0379555,13,1390.8806249626223,1044.8358657414049,346.04475922121753
0,0,43,0,111,85,0,71,0,0,10486,0,0,0,0,0,3,2,4,2.1,4081.4912744,0.0,0,20276.472215125,21454.0,4,3,10,8,4,0,0,0,0,0,0,0,1,9655.46295958333,1,1,1_0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0,55,0,400,85,0,50,0,0,105,0,0,0,0,0,2,0,1,1.0,1757.3354829,0.0,0,1361.0,1361.0,7,3,0,1,1,0,0,0,0,1,0,0,0,1361.0,1,1,1_0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,20,51,0,111,63,1,50,0,0,1050,0,0,0,168,1,2,0,1,1.0,2613.5933588,0.0,0,9058.0,9214.0,4,3,9,7,1,1,0,0,0,0,0,1,0,9058.0,1,1,1_0,7778.1375589,0.0,7778.1375589,0.0,20,669.3786644651665,669.3786644651665,0.0
0,14,38,0,111,31,0,20,1,0,10536,0,0,60,185,2,4,2,4,2.5,1353.389301,0.0,0,25320.0,25320.0,1,3,9,7,5,1,0,1,0,0,0,1,0,10128.0,1,1,1_0,2000.0,0.0,0.0,2000.0,19,172.11798053101836,0.0,172.11798053101836
0,17,38,0,111,67,0,50,1,0,10545,0,0,0,450,1,6,5,7,3.4,557.00129891,2600.0,0,35894.0,35894.0,1,3,9,7,4,1,0,0,0,0,0,1,0,10557.0588235294,1,1,1_0,30000.0,0.0,0.0,30000.0,19,2581.7697079652758,0.0,2581.7697079652758
0,13,60,0,400,31,1,10,0,0,1056,0,0,0,0,1,4,1,2,1.3,3275.4715048,416.0,0,1580.0,1580.0,4,4,0,0,2,1,0,0,1,0,0,0,0,1215.38461538462,1,1,1_1,19819.441429,0.0,19819.441429,0.0,13,1555.5352225176207,1555.5352225176207,0.0
