age_vehicule,agepr,nb_autre_carbu,consommation,cs42pr,decile_rev,nb_diesel,dip14pr,distance_autre_carbu,distance_diesel,distance_essence,nb_essence,ident_men,nactifs,nenfants,niveau_vie_decile,npers,ocde10,pondmen,puissance,situapr,tuu,typmen,veh_tot,rural,petite_ville,moyenne_ville,grande_ville,paris,distance,niveau_vie_quintile,donation_class_3
0.0,40,0,4.5,43.0,8,2,34.0,0.0,42715.84651,0.0,0,1100000435000,2,2,5,4,2.1,1720.2676441,99.0,1.0,8,4,2,0,0,0,0,1,42715.84651,3.0,5_0
0.0,54,0,0.0,75.0,1,0,52.0,0.0,0.0,0.0,0,1100000438000,0,0,2,1,1.0,1867.502592,0.0,7.0,8,1,0,0,0,0,0,1,0.0,1.0,2_0
0.0,33,0,0.0,37.0,1,0,13.0,0.0,0.0,0.0,0,1100000447000,1,0,1,1,1.0,3810.2118124,0.0,4.0,8,1,0,0,0,0,0,1,0.0,1.0,1_0
0.0,25,0,0.0,54.0,2,0,22.0,0.0,0.0,0.0,0,1100000453000,1,0,3,1,1.0,3961.4127323,0.0,1.0,8,1,0,0,0,0,0,1,0.0,2.0,3_0
5.0,44,0,9999.0,65.0,8,1,60.0,0.0,9690.8551182,0.0,0,1100000454000,1,2,5,4,2.1,2647.5045992,5.0,1.0,8,4,1,0,0,0,0,1,9690.8551182,3.0,5_0
0.0,91,0,0.0,77.0,2,0,71.0,0.0,0.0,0.0,0,1100000458000,0,0,1,2,1.5,2898.977044,0.0,5.0,8,5,0,0,0,0,0,1,0.0,1.0,1_0
3.0,63,0,6.0,74.0,7,0,14.0,0.0,0.0,16912.5338649,2,1100000465000,0,0,7,2,1.5,2200.2499188,7.0,5.0,8,3,2,0,0,0,0,1,16912.5338649,4.0,7_0
0.0,53,0,0.0,33.0,9,0,15.0,0.0,0.0,0.0,0,1100000467000,1,3,7,4,2.3,2359.171137,0.0,1.0,8,2,0,0,0,0,0,1,0.0,4.0,7_0
0.0,48,0,0.0,22.0,5,0,71.0,0.0,0.0,0.0,0,1100000517000,1,1,4,2,1.5,4466.4184681,0.0,1.0,8,2,0,0,0,0,0,1,0.0,2.0,4_0
0.0,25,0,0.0,63.0,4,0,52.0,0.0,0.0,0.0,0,1100000518000,1,2,2,4,2.1,2532.7790082,0.0,1.0,8,4,0,0,0,0,0,1,0.0,1.0,2_0
0.0,97,0,0.0,74.0,9,0,14.0,0.0,0.0,0.0,0,1100000523000,0,0,10,1,1.0,3315.4716714,0.0,5.0,8,1,0,0,0,0,0,1,0.0,5.0,10_0
5.0,80,0,4.0,75.0,5,0,45.0,0.0,0.0,2876.6287408,1,1100000526000,0,0,5,2,1.5,1946.4649485,4.0,5.0,4,3,1,0,0,1,0,0,2876.6287408,3.0,5_0
24.0,53,0,7.5,37.0,10,1,14.0,0.0,3868.8749159,0.0,0,1100000527000,2,2,10,4,2.5,1989.7464075,6.0,1.0,8,4,1,0,0,0,0,1,3868.8749159,5.0,10_0
0.0,60,0,0.0,52.0,6,0,71.0,0.0,0.0,0.0,0,1100000528000,1,0,6,2,1.5,1089.231698,0.0,1.0,8,3,0,0,0,0,0,1,0.0,3.0,6_0
2.0,80,0,5.8,75.0,10,0,22.0,0.0,0.0,11007.145983,1,1100000534000,0,0,10,2,1.5,2092.8559807,7.0,5.0,8,3,1,0,0,0,0,1,11007.145983,5.0,10_0
14.0,81,0,4.5,74.0,6,1,70.0,0.0,1793.4567901,2656.4174894,1,1100000535000,0,0,6,2,1.5,1074.2196825,6.0,5.0,8,3,2,0,0,0,0,1,4449.8742795,3.0,6_0
6.0,42,0,7.5,53.0,8,0,60.0,0.0,0.0,11273.02244,1,1100000538000,2,2,5,4,2.3,2158.0289997,6.0,1.0,8,4,1,0,0,0,0,1,11273.02244,3.0,5_0
2.0,36,0,7.0,31.0,10,0,35.0,0.0,0.0,9778.9001245,1,1100000546000,1,1,10,2,1.3,4468.3391738,6.0,1.0,4,2,1,0,0,1,0,0,9778.9001245,5.0,10_0
0.0,50,0,0.0,33.0,10,0,17.0,0.0,0.0,0.0,0,1100000547000,1,0,10,1,1.0,2869.9662693,0.0,4.0,8,1,0,0,0,0,0,1,0.0,5.0,10_0
0.0,50,0,0.0,56.0,2,0,71.0,0.0,0.0,0.0,0,1100000548000,1,0,3,1,1.0,1466.9320202,0.0,1.0,8,1,0,0,0,0,0,1,0.0,2.0,3_0
5.0,23,0,5.2,46.0,4,1,15.0,0.0,13109.818528,0.0,0,1100000553000,2,0,3,2,1.5,5337.9916213,4.0,1.0,8,3,1,0,0,0,0,1,13109.818528,2.0,3_0
0.0,69,0,0.0,74.0,4,0,42.0,0.0,0.0,0.0,0,1100000557000,0,0,7,1,1.0,4100.3959113,0.0,5.0,8,1,0,0,0,0,0,1,0.0,4.0,7_0
9.0,79,0,12.0,74.0,6,1,14.0,0.0,8490.1339947,0.0,0,1100000564000,0,0,9,1,1.0,2248.2198017,10.0,5.0,8,1,1,0,0,0,0,1,8490.1339947,5.0,9_0
7.0,64,0,9.0,72.0,8,3,51.0,0.0,27471.8619465,0.0,0,1100000565000,0,0,8,2,1.5,3018.8035917,5.0,5.0,8,3,3,0,0,0,0,1,27471.8619465,4.0,8_0
0.0,58,0,0.0,77.0,1,0,32.0,0.0,0.0,0.0,0,1100000618000,0,0,2,1,1.0,2481.4433729,0.0,7.0,8,1,0,0,0,0,0,1,0.0,1.0,2_0
0.0,74,0,0.0,86.0,7,0,32.0,0.0,0.0,0.0,0,1100000623000,0,0,9,1,1.0,2007.1550416,0.0,5.0,8,1,0,0,0,0,0,1,0.0,5.0,9_0
3.0,55,0,9999.0,37.0,10,0,13.0,0.0,0.0,12904.220033,1,1100000627000,1,0,10,1,1.0,2030.1037866,7.0,1.0,8,1,1,0,0,0,0,1,12904.220033,5.0,10_0
0.0,43,0,0.0,37.0,7,0,16.0,0.0,0.0,0.0,0,1100000633000,1,0,10,1,1.0,3535.6647352,0.0,1.0,8,1,0,0,0,0,0,1,0.0,5.0,10_0
10.0,79,0,9.0,75.0,10,0,45.0,0.0,0.0,3096.4166667,1,1100000634000,0,0,10,2,1.5,2041.7270456,5.0,5.0,8,3,1,0,0,0,0,1,3096.4166667,5.0,10_0
10.0,63,0,5.5,47.0,10,1,14.0,0.0,14095.877944,9063.0124561,1,1100000635000,2,0,10,2,1.5,1061.1235835,8.0,1.0,8,3,2,0,0,0,0,1,23158.890400099997,5.0,10_0
1.0,73,0,7.0,31.0,9,1,24.0,0.0,16499.463352,0.0,0,1100000644000,1,0,10,1,1.0,3854.0777641,7.0,1.0,8,1,1,0,0,0,0,1,16499.463352,5.0,10_0
17.0,43,0,8.0,56.0,5,1,44.0,0.0,6934.1356338,19209.177149,1,1100000645000,3,5,1,10,5.1,935.72133991,5.0,1.0,8,5,2,0,0,0,0,1,26143.3127828,1.0,1_0
7.0,38,0,5.5,34.0,9,0,22.0,0.0,0.0,21183.994254,1,1100000646000,2,2,7,4,2.1,2531.157056,5.0,1.0,4,4,1,0,0,1,0,0,21183.994254,4.0,7_0
0.0,24,0,0.0,22.0,5,0,13.0,0.0,0.0,0.0,0,1100000647000,1,0,7,1,1.0,5195.6030297,0.0,1.0,8,1,0,0,0,0,0,1,0.0,4.0,7_0
1.0,75,0,6.5,78.0,6,0,70.0,0.0,0.0,10983.4763,1,1100000654000,0,0,6,2,1.5,2964.2422083,7.0,5.0,8,3,1,0,0,0,0,1,10983.4763,3.0,6_0
3.0,42,0,8.0,55.0,9,2,32.0,0.0,17939.486761,12238.845336,1,1100000655000,2,3,5,5,2.8,1688.2432181,7.0,1.0,3,4,3,0,1,0,0,0,30178.332097,3.0,5_0
0.0,76,0,0.0,75.0,1,0,35.0,0.0,0.0,0.0,0,1100000658000,0,0,2,1,1.0,1950.5598852,0.0,5.0,8,1,0,0,0,0,0,1,0.0,1.0,2_0
0.0,71,0,0.0,77.0,7,0,42.0,0.0,0.0,0.0,0,1100000663000,0,0,10,1,1.0,3913.6665486,0.0,5.0,8,1,0,0,0,0,0,1,0.0,5.0,10_0
0.0,69,0,6.0,74.0,1,0,15.0,0.0,0.0,10342.217696,1,1100000667000,0,0,1,1,1.0,2673.2650688,5.0,5.0,8,1,1,0,0,0,0,1,10342.217696,1.0,1_0
0.0,66,0,0.0,77.0,2,0,70.0,0.0,0.0,0.0,0,1100000668000,0,0,1,2,1.5,2058.136591,0.0,5.0,8,3,0,0,0,0,0,1,0.0,1.0,1_0
12.0,56,0,8.7,45.0,8,1,52.0,0.0,7898.3261183,0.0,0,1100000714000,1,0,8,2,1.5,2341.7422096,12.0,1.0,8,3,1,0,0,0,0,1,7898.3261183,4.0,8_0
4.0,58,0,7.0,37.0,10,1,14.0,0.0,17877.083656,0.0,0,1100000724000,1,0,10,2,1.5,1701.487359,10.0,1.0,8,3,1,0,0,0,0,1,17877.083656,5.0,10_0
0.0,76,0,0.0,78.0,4,0,71.0,0.0,0.0,0.0,0,1100000728000,0,0,3,2,1.5,1899.654657,0.0,5.0,8,3,0,0,0,0,0,1,0.0,2.0,3_0
7.0,41,0,5.5,37.0,5,1,32.0,0.0,14803.81838,0.0,0,1100000734000,1,2,4,3,1.6,2571.2436353,6.0,1.0,8,2,1,0,0,0,0,1,14803.81838,2.0,4_0
17.0,48,0,10.0,67.0,5,1,42.0,0.0,7024.3148056,0.0,0,1100000738000,1,5,1,7,3.2,1322.3046122,10.0,1.0,8,4,1,0,0,0,0,1,7024.3148056,1.0,1_0
