"aba","age_vehicule","agepr","nb_autre_carbu","cataeu","cs42pr","nb_diesel","dip14pr","nb_essence","etat_veh_achat","ident_men","km_autre_carbu","km_diesel","km_essence","mloy_d","nactifs","nbphab","nenfants","npers","ocde10","pondmen","poste_07_2_2_1","prix_achat","rev_disponible","revtot","situapr","stalog","tau","tuu","typmen","veh_tot","vp_deplacements_pro","vp_domicile_travail","rural","petite_ville","moyenne_ville","grande_ville","paris","niveau_vie","niveau_vie_decile","niveau_vie_quintile","donation_class_3","distance","distance_autre_carbu","distance_diesel","distance_essence"
2,5,56,0,111,38,0,30,2,0,1168,0,0,99999,0,1,5,0,2,1.5,1830.5084368,0,0,74026,88554,1,1,9,7,3,2,0,0,0,0,0,1,0,49350.6666666667,10,5,"10_0",15619.454947,0,0,15619.454947
2,12,65,0,111,22,2,41,0,0,11690,0,0,0,0,1,4,0,2,1.5,1698.1405654,0,0,54742.365,63387,1,1,10,8,3,2,0,0,0,0,0,0,1,36494.91,10,5,"10_0",15619.454947,0,0,15619.454947
2,3,82,0,111,74,0,12,1,0,11742,0,0,0,0,0,4,0,2,1.5,1679.5584951,0,0,75476.212705055,121208,5,1,9,7,3,1,0,0,0,0,0,1,0,50317.4751367033,10,5,"10_0",15619.454947,0,0,15619.454947
2,1,53,0,111,47,2,31,0,1,11748,0,400,0,0,2,7,2,4,2.3,1915.66584,3377.4,40000,102338.9,110867,1,1,8,6,4,2,0,1,0,0,1,0,0,44495.1739130435,10,5,"10_0",31028.286346,0,20021.140363,11007.145983
2,8,67,0,111,74,1,10,1,0,11782,0,0,0,0,0,9,0,2,1.5,1949.629164,2756,0,60132.3550820155,68368,5,1,5,4,3,2,0,0,0,0,1,0,0,40088.2367213437,10,5,"10_0",25367.2336602,0,25367.2336602,0
0,0,49,0,111,38,0,31,1,0,11793,0,0,5,908,3,4,2,4,2.5,4610.4121691,0,0,94196.15,106320,1,3,10,8,4,1,0,1,0,0,0,0,1,37678.46,10,5,"10_0",15619.454947,0,0,15619.454947
2,0,62,0,111,37,0,41,0,0,11802,0,0,0,0,1,4,0,1,1,2306.2037345,0,0,41582.45,51621,1,1,10,8,1,0,0,0,0,0,0,0,1,41582.45,10,5,"10_0",15619.454947,0,0,15619.454947
0,0,43,0,111,0,0,20,0,0,11814,0,0,0,0,2,4,0,2,1.5,1714.3175198,0,0,62124.6,67260,4,3,9,7,3,0,0,0,0,0,0,1,0,41416.4,10,5,"10_0",15619.454947,0,0,15619.454947
2,6,43,1,111,37,1,12,0,2,1182,0,0,0,0,1,7,2,3,1.6,860.57742105,0,58000,77219.689991015,86000,1,2,9,7,2,2,0,0,0,0,0,1,0,48262.3062443844,10,5,"10_0",15619.454947,0,0,15619.454947
2,14,70,0,111,74,0,20,2,0,11829,0,0,0,0,0,7,0,2,1.5,1477.6740407,0,0,73811.9,89265,5,2,5,4,3,2,0,0,0,0,1,0,0,49207.9333333333,10,5,"10_0",15619.454947,0,0,15619.454947
0,7,42,0,111,37,1,20,0,0,11837,0,850,0,1650,2,4,2,4,2.1,3809.4828957,2982.2,0,93440.635450836,105142,1,3,10,8,4,1,1,1,0,0,0,0,1,44495.5406908743,10,5,"10_0",26978.106796,0,26978.106796,0
2,3,67,0,111,75,0,31,1,0,11840,0,0,0,0,0,5,0,1,1,1908.1506867,0,0,39897.95,47607,5,1,6,4,1,1,0,0,0,0,1,0,0,39897.95,10,5,"10_0",15619.454947,0,0,15619.454947
2,6,53,0,111,34,1,20,0,0,11879,0,890,0,0,1,3,0,1,1,2868.7672748,1774.24,0,61718.1,77052,1,2,10,8,1,1,0,1,0,0,0,0,1,61718.1,10,5,"10_0",18816.081981,0,18816.081981,0
2,3,59,1,111,37,0,12,1,0,11887,0,0,0,0,2,8,0,2,1.5,3005.1010569,0,0,426713.922215125,572804,1,1,10,8,3,2,0,0,0,0,0,0,1,284475.948143417,10,5,"10_0",15619.454947,0,0,15619.454947
2,13,67,0,112,74,1,60,0,0,11895,0,0,0,0,0,7,0,1,1,1905.9809662,0,0,37099.5,45450,5,1,8,1,1,1,0,0,0,1,0,0,0,37099.5,10,5,"10_0",15619.454947,0,0,15619.454947
0,8,53,0,111,37,1,42,0,0,11900,0,280,0,671,1,4,0,1,1,2680.9670104,2548,0,67831.805399637,85076,1,3,10,8,1,1,1,1,0,0,0,0,1,67831.805399637,10,5,"10_0",23901.3812404,0,22225.337838,1676.0434024
2,1,46,0,111,31,1,30,0,0,11912,0,0,0,0,1,8,1,3,2,2616.7627293,0,0,92121.063004535,128128,1,1,6,5,4,1,0,0,0,0,1,0,0,46060.5315022675,10,5,"10_0",15619.454947,0,0,15619.454947
2,13,83,0,111,77,0,41,1,0,11933,0,0,0,0,0,5,0,1,1,3625.869313,0,0,36785.2,41476,5,1,10,8,1,1,0,0,0,0,0,0,1,36785.2,10,5,"10_0",15619.454947,0,0,15619.454947
0,4,39,0,111,37,0,20,1,0,11937,0,0,180,1280,2,5,0,2,1.5,2748.0287038,0,0,75561.15,89358,1,3,9,7,3,1,0,1,0,0,0,1,0,50374.1,10,5,"10_0",15619.454947,0,0,15619.454947
2,4,55,0,112,54,2,41,2,0,11953,0,170,150,0,2,5,0,2,1.5,1941.9144885,0,0,59761.8,64570,1,1,7,4,3,4,0,0,0,0,1,0,0,39841.2,10,5,"10_0",15619.454947,0,0,15619.454947
0,0,32,0,111,38,1,12,0,1,11970,0,1350,0,780,1,2,1,2,1.3,1379.6041799,4680,25000,47322.8,49050,1,3,10,8,2,1,0,1,0,0,0,0,1,36402.1538461538,10,5,"10_0",39761.722502,0,39761.722502,0
2,4,42,0,111,85,1,30,0,0,11978,0,300,0,0,0,7,4,5,2.2,781.89474788,3187.6,0,92338,92572,6,1,10,8,2,1,1,1,0,0,0,0,1,41971.8181818182,10,5,"10_0",29186.9815985,0,29186.9815985,0
2,0,47,0,111,38,0,31,0,0,11990,0,0,0,0,2,3,0,2,1.5,2138.0502922,0,0,71816.8,73111,1,1,9,7,3,0,0,0,0,0,0,1,0,47877.8666666667,10,5,"10_0",15619.454947,0,0,15619.454947
