,ident,pondmen,agepr,cataeu,cs42pr,ppa,ocde10,nactifs,nactoccup,npers,nivviem,prest_precarite_hand,prest_precarite_rsa,prest_precarite_vieil,retraites,rev_etranger,rev_valeurs_mobilieres_bruts,revdecm,rev_disponible,salaires,,stalog,tau,mhab_d,tuu,typmen,donation_class_1
62,17000064,261.38399999,50,111,31.0,0,2.8,2,2,5,82947.171429,0,0,0,0,0,45310,185790,232250,48110,1,,8,2800,6,4,2
63,17000065,588.95524182,87,112,75.0,0,1.0,0,0,1,20417.0,0,0,0,20680,0,30,21360,20420,0,2,7.0,9,310,0,1,0
64,17000066,391.22025672,51,111,38.0,0,3.0,2,2,5,25953.333333,0,0,0,0,0,0,77790,77860,75080,1,,10,270,8,4,2
65,17000067,471.09020615,59,112,75.0,650,2.5,2,2,4,19879.6,0,0,0,35450,0,170,50410,49700,13510,1,,6,1080,1,4,2
66,17000068,381.61728294,56,211,13.0,0,2.8,3,3,5,13272.857143,0,0,0,0,0,10,32720,37160,15780,1,2.0,2,190,3,4,3
67,17000069,409.40190157,46,400,62.0,0,1.8,1,1,3,21955.0,0,0,0,0,0,10,43650,39520,43220,1,,0,640,0,4,1
68,17000070,919.93230087,50,111,38.0,0,3.0,2,2,5,18131.666667,0,0,0,0,0,20,54170,54400,52270,1,,9,610,7,4,2
69,17000071,350.46321774,31,300,52.0,4230,1.3,1,1,2,15256.153846,0,0,0,0,0,0,13010,19830,12560,2,4.0,0,230,0,2,1
70,17000072,318.66221351,59,400,72.0,0,1.0,0,0,1,7415.0,0,0,0,6820,0,0,7470,7420,0,2,,0,0,1,1,0
71,17000073,381.9639799,48,112,43.0,0,2.1,1,1,4,37743.809524,0,0,0,0,0,0,89220,79260,12480,1,,8,1700,1,4,1
72,17000074,402.57098554,47,112,45.0,0,1.5,1,1,2,18510.666667,0,0,0,0,0,40,29260,27770,24830,2,,7,440,0,2,1
73,17000075,415.01773661,48,111,35.0,0,2.1,2,2,4,44290.47619,0,0,0,0,0,440,96260,93010,23010,1,,9,1210,7,4,2
74,17000076,3262.8116809,32,111,67.0,0,2.1,2,1,4,13911.428571,0,0,0,0,0,0,26550,29210,22900,1,3.0,8,640,6,4,2
75,17000077,626.44817074,37,111,48.0,0,1.8,2,1,3,23294.444444,0,0,0,0,0,20,46210,41930,26260,1,1.0,9,1060,7,4,2
76,17000078,267.16669287,56,111,52.0,0,1.5,1,1,2,18094.666667,0,0,0,15870,0,0,25320,27140,9000,1,,8,0,7,5,1
77,17000079,571.70294661,72,211,78.0,0,1.0,0,0,1,19916.0,0,0,0,20380,0,0,20690,19920,0,1,,1,490,3,1,0
78,17000080,765.29410196,34,112,33.0,0,2.7,2,2,6,30278.518519,0,0,0,0,0,570,79820,81750,51000,1,,7,400,0,4,2
79,17000081,282.54972424,68,111,75.0,0,3.1,0,0,6,16014.516129,0,0,0,33750,0,0,40040,49650,0,1,,10,0,8,4,0
80,17000082,843.57832988,26,111,52.0,0,1.0,1,1,1,17726.0,0,0,0,0,0,0,17970,17730,17340,2,,2,440,3,1,1
81,17000083,315.97211378,41,112,47.0,0,2.1,2,2,4,26721.904762,0,0,0,0,0,10,51390,56120,49590,1,,8,570,0,4,2
82,17000084,352.19237796,63,120,47.0,0,1.5,1,1,2,30106.0,0,0,0,18990,0,0,47930,45160,27350,1,,0,370,3,3,1
83,17000085,794.76545088,42,111,37.0,0,2.6,2,2,5,22054.615385,0,0,0,0,0,0,52620,57340,50790,1,,9,340,7,4,2
84,17000086,412.52791366,59,112,46.0,0,1.5,1,1,2,34362.0,0,0,0,26080,0,90,58430,51540,30350,1,2.0,9,490,0,3,1
85,17000087,412.2391579,57,111,23.0,0,1.5,2,2,2,66936.0,0,0,0,0,0,0,124380,100400,121200,1,,9,820,7,3,2
86,17000088,532.08697803,34,111,33.0,0,1.8,2,2,3,28562.222222,0,0,0,0,0,80,53970,51410,52010,1,,9,1110,7,4,2
87,17000089,557.71188178,54,112,48.0,0,1.5,2,2,2,50754.666667,0,0,0,0,0,0,78810,76130,75580,1,,7,390,0,3,2
88,17000090,695.67173206,38,111,67.0,0,2.1,2,2,4,15826.190476,0,0,0,0,0,0,25860,33240,19110,1,3.0,10,410,8,4,2
89,17000091,439.52921932,47,111,46.0,0,1.0,1,1,1,25637.0,0,0,0,0,0,0,28090,25640,27450,1,,8,640,6,1,1
90,17000092,732.71559142,32,112,64.0,2330,1.8,2,2,3,17391.111111,0,0,0,0,0,0,27530,31300,23590,1,,9,670,0,4,2
91,17000093,729.88790547,27,300,85.0,0,1.9,0,0,4,10871.052632,0,6810,0,0,0,0,500,20660,480,2,,0,0,0,2,0
92,17000094,545.39768227,62,112,75.0,0,1.5,1,1,2,29094.0,0,0,0,16300,0,0,49930,43640,35210,1,2.0,10,800,1,3,1
93,17000095,548.78000404,76,221,75.0,0,1.0,0,0,1,53967.0,0,0,0,39270,0,20,68290,53970,0,2,,1,1250,2,1,0
94,17000096,455.8444683,39,111,53.0,0,1.8,2,2,3,36812.777778,0,0,0,0,0,0,73380,66260,70830,1,,9,1020,7,4,2
95,17000097,617.65151757,45,111,63.0,0,1.0,1,0,1,11378.0,0,0,0,0,0,0,8880,11380,650,1,,9,440,7,1,1
96,17000098,804.55046085,22,111,84.0,0,1.0,0,0,1,1905.0,0,0,0,0,0,0,0,1910,0,2,,9,0,7,1,0
97,17000099,610.89115461,48,111,62.0,0,1.0,1,1,1,17256.0,0,0,0,0,0,0,18470,17260,17830,1,,9,630,7,1,1
98,17000100,585.10316031,58,112,67.0,0,1.5,1,1,2,20325.204533,0,0,0,0,0,0,30800,30490,19160,1,,9,610,2,3,1
99,17000101,833.90092656,42,221,62.0,0,3.0,3,3,5,14642.333333,0,0,0,0,0,0,42410,43930,40930,1,4.0,1,600,2,4,3
100,17000102,261.83648282,82,112,72.0,0,1.5,0,0,2,28444.666667,0,0,0,39500,0,10,40750,42670,0,1,,8,800,1,3,0
101,17000103,443.15777417,40,111,65.0,3290,2.4,1,1,5,14132.083333,0,0,0,0,0,0,19020,33920,18360,1,,10,50,8,4,1
102,17000104,575.24458826,32,221,78.0,0,1.8,0,0,3,8770.0,0,7100,0,0,0,0,0,15790,0,2,,1,0,2,2,0
103,17000105,583.81833751,41,111,34.0,0,2.1,2,2,4,42584.761905,0,0,0,0,0,80,102500,89430,89700,1,,10,2770,8,4,2
104,17000106,638.84321241,74,111,78.0,0,2.0,0,0,3,7581.5,0,0,0,15390,0,0,15520,15160,0,1,,10,640,8,4,0
105,17000107,450.36828264,63,112,75.0,0,1.5,0,0,2,25614.666667,0,0,0,33200,0,0,38200,38420,450,1,2.0,8,880,1,3,0
106,17000108,699.54125133,49,112,33.0,0,2.0,2,2,3,27510.0,0,0,0,0,0,0,59330,55020,54970,1,,9,810,1,4,2
107,17000109,189.17945162,50,112,52.0,1620,2.1,2,2,4,22162.380952,0,0,0,0,0,20,36430,46540,36530,1,4.0,8,300,0,4,2
108,17000110,267.36241777,45,111,52.0,0,3.3,2,0,6,6987.8787879,0,6100,0,0,0,0,5950,23060,0,1,,9,0,7,4,2
109,17000111,368.34137621,86,120,77.0,0,2.0,1,1,3,22240.5,0,0,0,23780,0,0,46600,44480,17970,1,,0,550,0,2,1
110,17000112,523.50987668,66,111,78.0,0,1.5,1,1,2,19818.237067,0,0,0,22740,0,0,33270,29730,6010,1,,6,1010,5,3,1
111,17000114,214.00133332,30,112,46.0,0,1.8,2,2,3,22662.777778,0,0,0,0,0,0,42740,40790,41250,1,4.0,8,690,0,4,2
112,17000115,249.09845975,61,112,74.0,0,1.5,0,0,2,24244.0,0,0,0,13160,0,20,41920,36370,0,1,,8,540,2,3,0
113,17000116,554.46490173,41,111,46.0,500,1.3,1,1,2,15364.615385,4860,0,0,0,0,0,8930,19970,8620,2,4.0,7,0,5,2,1
114,17000117,484.01745672,42,120,35.0,0,1.0,1,1,1,26343.0,0,0,0,0,0,0,27870,26340,26900,2,2.0,0,610,0,1,1
115,17000118,1160.6355964,71,111,78.0,0,1.5,0,0,2,18484.0,0,0,0,27190,0,0,27390,27730,0,1,7.0,5,30,4,3,0
116,17000119,764.67865878,28,111,38.0,0,1.5,2,2,2,37904.0,0,0,0,0,0,40,65900,56860,63560,1,4.0,9,690,7,3,2
