,age_vehicule,depenses_carburants_corrigees_emp,depenses_diesel_corrigees_emp,depenses_essence_corrigees_emp,distance_diesel,distance_essence,distance,ident_men,vp_deplacements_pro,vp_domicile_travail,aides_logement,bat_49_74,bat_ap_74,bat_av_49,froid_cout,froid_impaye,froid_installation,froid_isolation,froid,isolation_fenetres,isolation_murs,isolation_toit,log_indiv,majorite_double_vitrage,ouest_sud,paris,petite_ville,rural,revdecm
1832,13,2315.204981565436,2315.204981565436,0.0,26876.026422,0.0,26876.026422,2102,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,3150
1833,14,529.5763563495153,529.5763563495153,0.0,6147.5801318,0.0,6147.5801318,2122,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,32950
1834,3,1545.3768523532965,1545.3768523532965,0.0,17939.486761,0.0,17939.486761,2128,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,18570
1835,11,884.9900109724732,884.9900109724732,0.0,10273.394843,0.0,10273.394843,2145,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,40960
1836,20,1468.0271115681496,567.9830260376112,900.0440855305384,6414.8238536,10165.135232,16579.9590856,2149,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,34860
1837,12,1092.1057812291888,1092.1057812291888,0.0,12677.695524,0.0,12677.695524,2168,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,11640
1838,17,460.7333613209324,460.7333613209324,0.0,5348.4171341,0.0,5348.4171341,2171,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,27100
1839,0,0.0,0.0,0.0,0.0,0.0,0.0,2178,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25200
1840,23,1080.8283643290745,1080.8283643290745,0.0,12546.781779,0.0,12546.781779,220,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,13210
1841,0,0.0,0.0,0.0,0.0,0.0,0.0,2213,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,18730
1842,0,0.0,0.0,0.0,0.0,0.0,0.0,2215,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19000
1843,13,236.5338463589056,236.5338463589056,0.0,2671.4230712,0.0,2671.4230712,2220,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,15960
1844,10,1982.327934051838,1982.327934051838,0.0,23011.8276165,0.0,23011.8276165,2234,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,23120
1845,0,0.0,0.0,0.0,0.0,0.0,0.0,2249,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,10110
1846,30,485.8394246358768,0.0,485.8394246358768,0.0,5487.0906124,5487.0906124,2256,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,15960
1847,27,603.0071044167413,0.0,603.0071044167413,0.0,7000.0,7000.0,2269,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,15520
1848,15,1246.6184416986823,1246.6184416986823,0.0,14079.360385,0.0,14079.360385,2273,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,16530
