,age_vehicule,depenses_carburants_corrigees_entd,depenses_diesel_corrigees_entd,depenses_essence_corrigees_entd,distance_diesel,distance_essence,distance,ident_men,vp_deplacements_pro,vp_domicile_travail,aides_logement,bat_49_74,bat_ap_74,bat_av_49,froid_cout,froid_impaye,froid_installation,froid_isolation,froid,isolation_fenetres,isolation_murs,isolation_toit,log_indiv,majorite_double_vitrage,ouest_sud,paris,petite_ville,rural,revdecm
9713,20,84.42010183199568,0.0,84.42010183199568,0.0,900.0,900.0,15690,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,51360
9714,0,1295.7237940834405,1295.7237940834405,0.0,16007.281976,0.0,16007.281976,15727,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,159510
9715,3,2090.6516487908493,1664.382652828661,426.26899596218783,17743.930119,4544.4401042,22288.3702232,15746,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,119370
9716,18,500.3765201641265,0.0,500.3765201641265,0.0,5334.4980446,5334.4980446,15754,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,89010
9717,4,2809.694219453101,2262.259437156088,547.4347822970134,24117.875355,5836.184669,29954.060024,15762,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,80870
9718,5,1384.652814696143,1384.652814696143,0.0,14761.7392799,0.0,14761.7392799,15765,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,64690
9719,9,1043.0325515224774,0.0,1043.0325515224774,0.0,11119.736603,11119.736603,15770,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,21460
9720,11,1635.2318280211932,0.0,1635.2318280211932,0.0,17433.15411,17433.15411,15787,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,179520
9721,10,3588.309649461249,1985.890754527153,1602.4188949340964,21171.517687,17083.336482,38254.854169,15791,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,108210
9722,3,1646.003655732742,1646.003655732742,0.0,17547.99222,0.0,17547.99222,1609,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,307050
9723,2,1599.6546332706978,1599.6546332706978,0.0,17053.866777,0.0,17053.866777,1618,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,96050
9724,0,0.0,0.0,0.0,0.0,0.0,0.0,1639,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,48020
9725,8,564.5327048353926,0.0,564.5327048353926,0.0,6018.4650732,6018.4650732,1659,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,64870
