,aba,agepr,aise,ancons,depenses_combustibles_liquides,depenses_combustibles_solides,depenses_electricite,depenses_gaz_liquefie,depenses_gaz_ville,depenses_tot,dip14pr,htl,ident_men,identifiant_menage,nactifs,nbphab,nenfants,npers,ocde10,pondmen,poste_04_5_0_0,poste_04_5_5_1,poste_04_5_5_2,revtot,stalog,surfhab_d,zeat,fioul,gaz_ville,electricite,strate,rural,petite_ville,moyenne_ville,grande_ville,paris,bat_av_49,bat_49_74,bat_ap_74,log_indiv,log_colec,ouest_sud,est_nord,aides_logement,depenses_energies,part_energies_depenses_tot,part_energies_revtot,niveau_vie,niveau_vie_decile,niveau_vie_quintile,donation_class_1,donation_class_2,donation_class_3,donation_class_4
2574,,38,4.0,5.0,0.0,0.0,930.9180136245847,0.0,0.0,16686.280000000002,50.0,2.0,13281,201702574,0,1.0,0,1,1.0,5073.3789807,0,0,0.0,12792.0,3,21.0,5,0,0,1,2,0,0,1,0,0,0,0,1,0,1,1,0,0,930.9180136245847,0.055789427818817884,0.07277345322268486,12792.0,2,1,2_0,2_0_0,2_2_0,2_0_0_0
2575,2.0,77,2.0,3.0,0.0,0.0,343.80494821362504,0.0,0.0,47806.72031599,44.0,2.0,13282,201702575,1,4.0,1,3,2.0,3278.2188572,0,0,0.0,68606.0,1,65.0,7,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,343.80494821362504,0.007191561059641064,0.0050112956332336095,34303.0,9,5,9,9_0,9_1,9_0_1
2576,2.0,58,4.0,1.0,0.0,593.8481471691332,952.0752412069617,0.0,0.0,22598.291191299995,41.0,1.0,13284,201702576,2,7.0,1,3,2.0,2818.3914211,0,0,0.0,9933.0,2,130.0,2,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1545.9233883760949,0.0684088622139382,0.15563509396718966,4966.5,1,1,1_0,1_1_0,1_0_0,1_1_0_0
2577,,41,4.0,99.0,0.0,0.0,71.93457378008155,0.0,420.22248720913984,14137.957686991,50.0,1.0,13285,201702577,1,4.0,2,3,1.8,192.18866946,0,0,0.0,15040.0,3,85.0,2,0,1,1,2,0,0,1,0,0,0,0,1,1,0,0,1,0,492.1570609892214,0.03481104356692751,0.03272320884236844,8355.555555555555,1,1,1_0,1_1_0,1_2_0,1_0_0_0
2578,2.0,61,3.0,1.0,0.0,0.0,1274.7229618382098,0.0,0.0,28863.38,60.0,1.0,13286,201702578,0,3.0,0,1,1.0,2398.5446479,0,0,0.0,37740.0,1,72.0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1274.7229618382098,0.04416402243390101,0.03377644307997376,37740.0,9,5,9,9_1,9_0,9_1_0
2579,2.0,58,3.0,9.0,2260.025498669256,0.0,1004.9683101629039,98.05191368213264,0.0,53708.590166159986,50.0,1.0,13287,201702579,3,5.0,2,4,2.5,3021.90533,0,0,0.0,70807.0,1,130.0,7,1,0,1,2,0,0,1,0,0,0,0,1,1,0,1,0,0,3363.0457225142927,0.06261653326050694,0.04749594987097734,28322.8,8,4,8,8_1,8_2,8_0_0
2580,2.0,40,2.0,9.0,0.0,0.0,1676.6045492653707,0.0,232.78534613704483,61764.059999990015,30.0,1.0,13289,201702580,2,6.0,3,5,2.6,2664.3482511,0,0,0.0,65000.0,2,159.0,2,0,1,1,2,0,0,1,0,0,0,0,1,1,0,0,1,0,1909.3898954024155,0.030914254914633593,0.029375229160037163,25000.0,7,4,7,7_1,7_2,7_0_0
2581,2.0,50,2.0,8.0,0.0,0.0,2909.118792576827,0.0,1284.4800692359374,53584.79754025001,10.0,1.0,1329,201702581,2,6.0,3,5,3.0,1892.4104306,0,0,0.0,88775.0,1,127.0,7,0,1,1,3,0,0,0,1,0,0,0,1,1,0,1,0,0,4193.598861812765,0.07826098173950848,0.04723851153830205,29591.666666666668,8,4,8,8_1,8_3,8_0_0
2582,,59,3.0,5.0,0.0,0.0,1383.6826838874508,0.0,554.6936831160646,19919.22,33.0,2.0,13290,201702582,1,3.0,0,1,1.0,2353.7810992,0,0,0.0,32981.0,3,78.0,9,0,1,1,2,0,0,1,0,0,0,0,1,0,1,1,0,0,1938.3763670035155,0.0973118609565794,0.058772516509612065,32981.0,9,5,9,9_0,9_2,9_0_0
2583,,53,2.0,1.0,0.0,0.0,433.0196218086448,0.0,788.1483730297563,42668.37063199,41.0,1.0,13291,201702583,2,3.0,1,2,1.5,1747.9248937,0,0,0.0,44300.0,3,55.0,2,0,1,1,3,0,0,0,1,0,1,0,0,1,0,0,1,0,1221.167994838401,0.028619981891758663,0.027565868957977448,29533.333333333332,8,4,8,8_1,8_3,8_1_0
2584,2.0,34,1.0,1.0,0.0,0.0,2189.7730547760116,0.0,0.0,46007.9,12.0,1.0,13292,201702584,2,5.0,3,5,2.4,1774.3992471,0,0,0.0,67041.0,2,150.0,2,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,2189.7730547760116,0.047595588035446335,0.032663191998568215,27933.75,8,4,8,8_1,8_0,8_1_0
2585,,32,2.0,1.0,0.0,0.0,495.07912542762006,0.0,1074.3688256313676,38233.299999999996,20.0,2.0,13293,201702585,2,5.0,0,2,1.5,1882.4814266,0,0,0.0,52788.0,3,100.0,4,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1569.4479510589877,0.04104924113427268,0.0297311500920472,35192.0,9,5,9,9_0,9_1,9_1_0
2586,2.0,50,2.0,6.0,0.0,0.0,482.3847888781939,0.0,974.9161703252045,16128.980000000001,71.0,1.0,13294,201702586,1,4.0,0,2,1.5,1563.779408,0,0,0.0,26720.0,1,80.0,4,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1457.3009592033984,0.09035295221417587,0.054539706557013415,17813.333333333332,4,2,4_0,4_1_0,4_1_0,4_0_0_0
2587,,56,4.0,99.0,0.0,0.0,380.83009648278465,0.0,0.0,27253.260513459998,50.0,2.0,13295,201702587,2,5.0,2,5,2.6,1990.7094797,0,0,0.0,49770.0,3,75.0,1,0,0,1,4,0,0,0,0,1,0,0,1,0,1,0,1,0,380.83009648278465,0.013973744400039697,0.007651800210624566,19142.30769230769,5,3,5,5_0,5_4,5_0_0
2588,,54,3.0,99.0,0.0,0.0,1269.4336549426155,0.0,0.0,30369.9716935,44.0,2.0,13297,201702588,1,3.0,2,4,2.1,868.30603393,0,0,0.0,35029.0,3,63.0,1,0,0,1,4,0,0,0,0,1,0,0,1,0,1,0,1,0,1269.4336549426155,0.041798973925758015,0.0362395059791206,16680.47619047619,4,2,4_0,4_0_0,4_4_0,4_0_0_0
2589,,47,2.0,99.0,0.0,0.0,740.5029653831924,0.0,0.0,22444.56,30.0,2.0,13298,201702589,1,2.0,1,2,1.3,727.5299801,0,0,0.0,19289.0,3,37.0,8,0,0,1,3,0,0,0,1,0,0,0,1,0,1,0,1,0,740.5029653831924,0.03299253651589482,0.038389909553797105,14837.692307692307,3,2,3_0,3_0_0,3_3_0,3_0_0_0
2590,,58,4.0,9.0,0.0,0.0,952.0752412069617,0.0,0.0,26347.66,71.0,2.0,13299,201702590,1,3.0,0,1,1.0,2795.4946511,0,0,0.0,18784.0,3,69.0,8,0,0,1,2,0,0,1,0,0,0,0,1,0,1,0,1,0,952.0752412069617,0.036135096672985825,0.05068543660599242,18784.0,4,2,4_0,4_0_0,4_2_0,4_0_0_0
2591,2.0,54,3.0,4.0,619.2469866353762,0.0,1017.6626467123301,0.0,0.0,43714.86784975,50.0,2.0,133,201702591,3,4.0,1,3,2.0,1793.8290676,0,0,0.0,67044.0,2,89.0,4,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1636.9096333477064,0.03744514655686115,0.024415453036031657,33522.0,9,5,9,9_0,9_1,9_0_1
