,aba,agepr,ancons,coml13,depenses_combustibles_liquides,depenses_combustibles_solides,depenses_electricite,depenses_energies,depenses_gaz_liquefie,depenses_gaz_ville,dip14pr,gchauf_2,gchauf_6,gchauf_7,gchaufs_1,gchaufs_2,gchaufs_3,gchaufs_4,gchaufs_5,htl,iaatcd,iaatr,idlog,isolation_fenetres,isolation_murs,isolation_toit,kusa_5,majorite_double_vitrage,mtypmena,nactifs,nbphab,npers,ocde10,plus_14,plus_18,pondmen,poste_04_5_1_1_1,revtot,soc,stalog,surfhab_d,zeat,fioul,gaz_ville,electricite,strate,rural,petite_ville,moyenne_ville,grande_ville,paris,bat_av_49,bat_49_74,bat_ap_74,log_indiv,log_colec,ouest_sud,est_nord,froid,froid_installation,froid_cout,froid_isolation,froid_impaye,aides_logement,part_energies_revtot,niveau_vie,niveau_vie_decile,niveau_vie_quintile,donation_class_1,donation_class_2,donation_class_3,donation_class_4
45,2,60.0,1,0.0,0.0,0.0,1181.3503912789142,1992.0,0.0,1664.2881407575853,70,0,0,0,0,0,0,0,0,1,,1,100046,2,1,2,0,1,42,1.0,5.0,2.0,1.5,2,2,212.980888663128,880.0,16878.670846146928,0,1,90.0,2,0,1,1,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0.11801877162944586,11252.44723076462,2,1,2_0,2_1_0,2_2_0,2_1_0_0
46,2,80.0,7,0.0,0.0,0.0,381.25398991274045,1420.0,0.0,1700.208028687605,71,0,0,0,0,0,0,0,0,1,,5,100047,2,1,2,0,1,11,0.0,5.0,1.0,1.0,1,1,1197.68085853267,284.0,21729.81569295346,0,1,115.0,5,0,1,1,2,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0.06534800018853713,21729.81569295346,6,3,6,6_1,6_2,6_0_0
47,2,74.0,1,0.0,0.0,297.4840065511041,0.0,1245.0,438.77882384251984,0.0,71,0,0,0,0,0,0,0,0,1,,1,100048,2,3,2,0,1,11,0.0,4.0,1.0,1.0,1,1,3654.74819824497,0.0,14927.83485683621,0,1,100.0,9,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0.083401244181761,14927.83485683621,3,2,3_0,3_1_0,3_0_0,3_1_0_0
48,2,82.0,2,0.0,0.0,0.0,308.76203408426164,450.0,0.0,329.2656393585151,70,0,0,0,0,0,0,0,0,2,,2,100049,1,1,0,1,1,11,0.0,4.0,1.0,1.0,1,1,628.848384086632,230.0,16457.087041718954,2,3,104.0,2,0,1,1,2,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0.02734384273834388,16457.087041718954,4,2,4_0,4_0_0,4_2_0,4_0_1_0
49,1,30.0,9,,0.0,0.0,,733.0,47.168723563070884,,31,0,0,0,0,0,0,0,0,2,2008.0,6,100050,2,2,0,0,1,42,1.0,3.0,4.0,2.1,2,2,127.58866096835801,690.0,39233.358153498,2,3,60.0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0.018683080788857904,18682.551501665712,4,2,4_1,4_0_1,4_2_1,4_0_0_1
50,2,55.0,1,0.0,0.0,0.0,536.9774505813245,1500.0,0.0,1646.3281967925755,71,0,0,0,0,0,0,0,0,1,,1,100051,2,3,3,0,1,42,1.0,5.0,2.0,1.5,2,2,331.036246906614,400.0,20957.198547926957,0,1,100.0,3,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0.07157445192732484,13971.46569861797,3,2,3_0,3_1_0,3_0_0,3_1_0_0
51,1,27.0,7,,0.0,0.0,,350.0,54.84735298031498,,71,0,0,0,0,0,0,0,0,2,,5,100052,2,1,0,0,2,21,0.0,4.0,2.0,1.5,2,2,84.71189660454648,300.0,7254.744031011682,2,3,60.0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0.04824429345871658,4836.4960206744545,1,1,1_1,1_0_1,1_3_1,1_0_0_1
52,2,35.0,7,0.0,0.0,0.0,0.0,1737.0,0.0,0.0,33,0,0,0,0,0,0,0,0,1,,5,100053,2,1,1,0,1,32,1.0,5.0,2.0,1.5,2,1,2290.63838806377,0.0,160324.3747003652,0,1,140.0,9,0,0,0,2,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0.010834285199903813,106882.91646691014,10,5,10,10_1,10_2,10_0_0
53,2,39.0,2,0.0,0.0,0.0,1610.9323517439739,3000.0,0.0,2693.991594751487,50,2,2,2,2,1,2,2,2,2,,2,100054,2,1,0,0,1,32,1.0,4.0,3.0,1.6,1,1,1542.84851978436,1200.0,46845.975472290906,1,2,98.0,4,0,1,1,3,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0.06403965270772258,29278.734670181813,8,4,8,8_0,8_3,8_0_1
54,1,22.0,2,0.0,0.0,0.0,134.24436264533114,766.0,0.0,996.7768900580502,50,0,0,0,0,0,0,0,0,2,,2,100055,2,1,0,1,1,43,2.0,3.0,3.0,1.8,2,2,683.297422905194,100.0,28698.94952873613,2,3,68.0,4,0,1,1,3,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0.02669087240398843,15943.860849297851,3,2,3_1,3_0_1,3_3_1,3_0_1_1
